Fecha, Hora, Zona de Carga, Precio Zonal ($/MWh), Componente energia ($/MWh), Componente perdidas ($/MWh), Componente Congestion ($/MWh),,
01/04/2025,14,CARMEN,1009.7,278.68,72.78,658.25,0,1
01/04/2025,15,CARMEN,1142.38,319.56,79.51,743.31,0,1
01/04/2025,16,CARMEN,1197.83,341.22,86.12,770.48,0,1
01/04/2025,17,CARMEN,1253.63,536.09,140.47,577.08,0,1
01/04/2025,18,CARMEN,1115.92,628.88,159.76,327.28,0,1
01/04/2025,19,CARMEN,3321.52,897.92,242.38,2181.21,0,1
01/04/2025,20,CARMEN,3633.43,2703.16,728.94,201.33,0,1
01/04/2025,21,CARMEN,4076.9,3775.33,1015.18,-713.62,0,1
01/04/2025,22,CARMEN,3860.54,820.38,225.48,2814.69,0,1
01/04/2025,23,CARMEN,9076.16,1190.61,326.3,7559.26,0,1
01/04/2025,24,CARMEN,9316.26,908.97,263.03,8144.27,0,1
01/04/2025,1,CASAS GRANDES,216.56,931.29,-191.53,-523.21,0,1
01/04/2025,2,CASAS GRANDES,209.74,901.5,-190.68,-501.08,0,1
01/04/2025,3,CASAS GRANDES,147.69,669.13,-143.6,-377.84,0,1
01/04/2025,4,CASAS GRANDES,145.94,711.01,-150.23,-414.84,0,1
01/04/2025,5,CASAS GRANDES,147.68,716.08,-151.66,-416.75,0,1
01/04/2025,6,CASAS GRANDES,144.63,695.78,-142.87,-408.28,0,1
01/04/2025,7,CASAS GRANDES,152.41,741.91,-156.77,-432.73,0,1
01/04/2025,8,CASAS GRANDES,148.22,694.03,-155.4,-390.41,0,1
01/04/2025,9,CASAS GRANDES,103.99,621.79,-132.01,-385.79,0,1
01/04/2025,10,CASAS GRANDES,59.45,540.62,-113.4,-367.77,0,1
01/04/2025,11,CASAS GRANDES,51.47,433.31,-95.78,-286.06,0,1
01/04/2025,12,CASAS GRANDES,40.57,239.49,-58.74,-140.19,0,1
01/04/2025,13,CASAS GRANDES,52.34,377.9,-85.94,-239.63,0,1
01/04/2025,14,CASAS GRANDES,69.48,278.68,-73.44,-135.76,0,1
01/04/2025,15,CASAS GRANDES,75.6,319.56,-78.76,-165.21,0,1
01/04/2025,16,CASAS GRANDES,92.25,341.22,-80.55,-168.42,0,1
01/04/2025,17,CASAS GRANDES,116.14,536.09,-126.69,-293.25,0,1
01/04/2025,18,CASAS GRANDES,133.61,628.88,-150.41,-344.86,0,1
01/04/2025,19,CASAS GRANDES,410.15,897.92,-216.91,-270.86,0,1
01/04/2025,20,CASAS GRANDES,780.95,2703.16,-621.71,-1300.51,0,1
01/04/2025,21,CASAS GRANDES,1043.25,3775.34,-779.05,-1953.03,0,1
01/04/2025,22,CASAS GRANDES,504.76,820.38,-192.78,-122.83,0,1
01/04/2025,23,CASAS GRANDES,490.71,1190.61,-269.55,-430.36,0,1
01/04/2025,24,CASAS GRANDES,336.8,908.97,-207.93,-364.24,0,1
01/04/2025,1,CELAYA,949.53,931.29,5.33,12.91,0,1
01/04/2025,2,CELAYA,917.1,901.5,5.45,10.15,0,1
01/04/2025,3,CELAYA,762.23,669.13,3.21,89.89,0,1
01/04/2025,4,CELAYA,728.63,711.01,3.53,14.1,0,1
01/04/2025,5,CELAYA,732.14,716.08,4.39,11.67,0,1
01/04/2025,6,CELAYA,711.59,695.78,4.72,11.1,0,1
01/04/2025,7,CELAYA,759.73,741.91,5.88,11.94,0,1
01/04/2025,8,CELAYA,698.35,694.03,4.29,0.03,0,1
01/04/2025,9,CELAYA,622.39,621.79,2.37,-1.77,0,1
01/04/2025,10,CELAYA,552.14,540.62,1.78,9.75,0,1
01/04/2025,11,CELAYA,492.2,433.31,1.67,57.22,0,1
01/04/2025,12,CELAYA,347.7,239.49,0.57,107.64,0,1
01/04/2025,13,CELAYA,466.6,377.9,1.55,87.15,0,1
01/04/2025,14,CELAYA,343.36,278.68,0.85,63.83,0,1
01/04/2025,15,CELAYA,436.9,319.56,1.32,116.02,0,1
01/04/2025,16,CELAYA,452.29,341.22,1.29,109.78,0,1
01/04/2025,17,CELAYA,610.97,536.09,3.82,71.06,0,1
01/04/2025,18,CELAYA,682.83,628.88,6.02,47.92,0,1
01/04/2025,19,CELAYA,996.71,897.92,10.2,88.59,0,1
01/04/2025,20,CELAYA,2716.28,2703.16,29.69,-16.57,0,1
01/04/2025,21,CELAYA,3699.08,3775.34,43.25,-119.51,0,1
01/04/2025,22,CELAYA,997.55,820.38,9.54,167.63,0,1
01/04/2025,23,CELAYA,1204.06,1190.61,12.75,0.71,0,1
01/04/2025,24,CELAYA,916.96,908.97,7.97,0.02,0,1
01/04/2025,1,CENTRO ORIENTE,941.75,931.29,56.9,-46.45,0,1
01/04/2025,2,CENTRO ORIENTE,920.25,901.5,54.46,-35.71,0,1
01/04/2025,3,CENTRO ORIENTE,547.51,669.13,41.77,-163.39,0,1
01/04/2025,4,CENTRO ORIENTE,708.88,711.01,42.45,-44.58,0,1
01/04/2025,5,CENTRO ORIENTE,718.19,716.08,42.63,-40.52,0,1
01/04/2025,6,CENTRO ORIENTE,696.99,695.78,39.88,-38.67,0,1
01/04/2025,7,CENTRO ORIENTE,744.99,741.91,44.83,-41.76,0,1
01/04/2025,8,CENTRO ORIENTE,739.14,694.03,45.14,-0.03,0,1
01/04/2025,9,CENTRO ORIENTE,664.85,621.79,41.22,1.85,0,1
01/04/2025,10,CENTRO ORIENTE,656.5,540.62,36.37,79.51,0,1
01/04/2025,11,CENTRO ORIENTE,804.33,433.31,28.94,342.08,0,1
01/04/2025,12,CENTRO ORIENTE,1083.85,239.49,15.93,828.42,0,1
01/04/2025,13,CENTRO ORIENTE,991.56,377.9,24.5,589.16,0,1
01/04/2025,14,CENTRO ORIENTE,990.39,278.68,18.34,693.38,0,1
